id;name;postal_code;commune;numero;voie;lieu_dit;code_insee;siret;activite;contact_url;site_internet;longitude;latitude;transport_station_presence;transport_bureau_de_vote_accessibilite;stationnement_presence;stationnement_pmr;stationnement_ext_presence;stationnement_ext_pmr;cheminement_ext_presence;cheminement_ext_terrain_stable;cheminement_ext_plain_pied;cheminement_ext_ascenseur;cheminement_ext_ascenseur_pmr;cheminement_ext_nombre_marches;cheminement_ext_reperage_marches;cheminement_ext_sens_marches;cheminement_ext_main_courante;cheminement_ext_rampe;cheminement_ext_pente_presence;cheminement_ext_pente_degre_difficulte;cheminement_ext_pente_longueur;cheminement_ext_devers;cheminement_ext_bande_guidage;cheminement_ext_retrecissement;entree_reperage;entree_vitree;entree_vitree_vitrophanie;entree_plain_pied;entree_ascenseur;entree_ascenseur_pmr;entree_marches;entree_marches_reperage;entree_marches_main_courante;entree_marches_rampe;entree_marches_sens;entree_dispositif_appel;entree_dispositif_appel_type;entree_balise_sonore;entree_aide_humaine;entree_largeur_mini;entree_pmr;entree_porte_presence;entree_porte_manoeuvre;entree_porte_type;accueil_visibilite;accueil_personnels;accueil_audiodescription_presence;accueil_audiodescription;accueil_equipements_malentendants_presence;accueil_equipements_malentendants;accueil_cheminement_plain_pied;accueil_cheminement_ascenseur;accueil_cheminement_ascenseur_pmr;accueil_cheminement_nombre_marches;accueil_cheminement_reperage_marches;accueil_cheminement_main_courante;accueil_cheminement_rampe;accueil_cheminement_sens_marches;accueil_ascenseur_etage;accueil_ascenseur_etage_pmr;accueil_classes_accessibilite;accueil_espaces_ouverts;accueil_chambre_nombre_accessibles;accueil_chambre_douche_plain_pied;accueil_chambre_douche_siege;accueil_chambre_douche_barre_appui;accueil_chambre_sanitaires_barre_appui;accueil_chambre_sanitaires_espace_usage;accueil_chambre_numero_visible;accueil_chambre_equipement_alerte;accueil_chambre_accompagnement;accueil_retrecissement;accueil_isoloir_accessibilite;accueil_urne_accessibilite;sanitaires_presence;sanitaires_adaptes;labels;labels_familles_handicap;registre_url;conformite;rnb_id
e62a802f-efea-4eb6-b64c-dc3b51227e53;11 MICHEL DE L'HOSPITAL;63000;Clermont-Ferrand;11;place Michel de l'Hospital;;63113;;Hôpital;;;3.089554;45.777483;;;True;True;True;True;;;;;;;;;;;;;;;;;;;;True;;;;;;;;;;;;80.0;;True;;;;;;;;;;;;;;;;;;;;[];;;;;;;;;;;;;;;;;;;A8NTN9JMAG6R
b9d3fb39-b595-4e48-9c6c-f38e9ad06b3b;16150 CHABANAIS;16150;Chabanais;4;Chemin des Bouvieres;;16070;;Hôpital;;;0.713335;45.872864;;;;;True;True;;;;;;;;;;;;;;;;;;;;True;;;;;;;;;;;;80.0;;True;;;;;;;;;;;;;;;;;;;;[];;;;;;;;;;;;;;;;;;;
67d59eb1-54db-4f71-83f9-b9c9389c8fc6;1 - Estelle;75014;Paris;11;Rue Desprez;;75114;;Hôpital;;;2.315671;48.834747;;;;;;;;;;;;;;;;;;;;;;;;;;True;;;;;;;;;;;;80.0;;True;;;;;;;;;;;;;;;;;;;;[];;;;;;;;;;;;;;;;;;;A1M9M3Y8VXXR
b7ac847b-5ea0-4684-8b61-7549f16334e7;20 rue Antoine de st exupery. Pierrelatte;26700;Pierrelatte;20;Rue Antoine de Saint Exupery;;26235;;Laboratoire d'analyse médicale;;;4.699842;44.376284;;;True;True;True;True;;;;;;;;;;;;;;;;;;;;True;;;;;;;;;;;;80.0;;True;;;;;;;;;True;;;;;;;;;;;[];;;;;;;;;;False;;;True;True;;;;;
54beb641-7ab7-4722-a3c2-73b982218f06;20rue godillot;75014;Paris;9;Rue Maria Helena Vieira Da Silva;;75114;;Hôpital;;;2.311409;48.828406;;;;;;;;;;;;;;;;;;;;;;;;;;True;;;;;;;;;;;;80.0;;True;;;;;;;;;;;;;;;;;;;;[];;;;;;;;;;;;;;;;;;;H7QHPZPR9RD8
1d6467c8-eb4c-4785-a59b-4b5acb02a305;29-Grand Centre de Vaccination;29200;Brest;7;rue de Roubaix;;29019;;Laboratoire d'analyse médicale;;;-4.495731;48.397033;;;True;True;;;;;;;;;;;;;;;;;;;;;;True;;;;;;;;;;;;80.0;;True;;;;;;;;;;;;;;;;;;;;[];;;;;;;;;;;;;True;True;;;;;CDMACV16R1H1
cd469895-d814-499f-802b-1aa8ed886aa3;3 Caps Health House;85180;Les Sables-d'Olonne;45;Rue des frères michelin;;85194;;Centre médical;;;-1.755562;46.499544;;;True;True;;;True;True;True;;;;;;;;;;;;;False;;;;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[];;;;;;;;;;;;;True;True;;;;;
0a407a66-f6a0-4407-ad92-63725232f237;5/9 rue des carnets.;92140;Clamart;5;Rue des Carnets;;92023;;Hôpital;;;2.26203;48.790833;;;;;True;True;;;;;;;;;;;;;;;;;;;;True;;;;;;;;;;;;80.0;;True;;;;;;;;;;;;;;;;;;;;[];;;;;;;;;;;;;;;;;;;
b057cf5a-4ec7-4a72-b3f0-d2b1a814ff5e;A;9300;Lavelanet;;Cite des Monts d’Olmes;;9160;;Laboratoire d'analyse médicale;;;1.83739;42.92212;;;;;True;True;;;;;;;;;;;;;;;;;;;;True;;;;;;;;;;;;80.0;;True;;;;;;;;;;;;;;;;;;;;[];;;;;;;;;;;;;True;True;;;;;
1bb935f1-2633-47ed-9d39-02ed6939d50d;A2 santé;69630;Chaponost;21;Avenue Maréchal Joffre;;69043;;Centre médical;;;4.739615;45.710813;False;;False;;False;;False;;;;;;;;;;;;;;;;False;True;True;True;;;;;;;;False;;False;True;90.0;False;True;battante;manuelle;False;non-formés;;;False;;True;;;;;;;;;;;[];;;;;;;;;;False;;;False;;;;;False;
